origin1;origin2;origin3;origin4;religion1;religion2;religion3;religion4;location
Papua New Guinea;China;Thailand;Egypt;Christian;Non-religious;Budhist;Muslim;Thailand
Papua New Guinea;Vietnam;Egypt;China;Christian;Budhist;Muslim;Non-religious;Vietnam
Egypt;India;China;Brazil;Muslim;Hindu;Non-religious;Christian;Brazil
China;Nepal;Brazil;Egypt;Non-religious;Hindu;Christian;Muslim;Brazil
China;Brazil;Egypt;Thailand;Non-religious;Christian;Muslim;Budhist;Thailand
China;Egypt;Vietnam;Brazil;Non-religious;Muslim;Budhist;Christian;Vietnam
India;China;Colombia;Egypt;Hindu;Non-religious;Christian;Muslim;India
Nepal;Colombia;China;Egypt;Hindu;Christian;Non-religious;Muslim;Egypt
China;Thailand;Egypt;Colombia;Non-religious;Budhist;Muslim;Christian;Thailand
Colombia;China;Vietnam;Egypt;Christian;Non-religious;Budhist;Muslim;Vietnam
India;Georgia;Egypt;China;Hindu;Christian;Muslim;Non-religious;Georgia
Egypt;Thailand;China;India;Muslim;Budhist;Non-religious;Hindu;Thailand
China;Egypt;India;Vietnam;Non-religious;Muslim;Hindu;Budhist;India
India;China;Philippines;Egypt;Hindu;Non-religious;Christian;Muslim;China
China;Egypt;India;Greece;Non-religious;Muslim;Hindu;Christian;India
South Africa;India;Egypt;China;Christian;Hindu;Muslim;Non-religious;South Africa
Italy;China;India;Egypt;Christian;Non-religious;Hindu;Muslim;Egypt
Egypt;Nigeria;India;China;Muslim;Christian;Hindu;Non-religious;Egypt
France;India;China;Egypt;Christian;Hindu;Non-religious;Muslim;France
Germany;India;Egypt;China;Christian;Hindu;Muslim;Non-religious;Germany
Nepal;Georgia;China;Egypt;Hindu;Christian;Non-religious;Muslim;Georgia
China;Nepal;Egypt;Thailand;Non-religious;Hindu;Muslim;Budhist;China
Nepal;Vietnam;Egypt;China;Hindu;Budhist;Muslim;Non-religious;Nepal
Philippines;Nepal;China;Egypt;Christian;Hindu;Non-religious;Muslim;Philippines
Nepal;Egypt;China;Greece;Hindu;Muslim;Non-religious;Christian;Greece
South Africa;China;Egypt;Nepal;Christian;Non-religious;Muslim;Hindu;Nepal
Italy;China;Egypt;Nepal;Christian;Non-religious;Muslim;Hindu;China
Nepal;Nigeria;China;Egypt;Hindu;Christian;Non-religious;Muslim;Nigeria
France;China;Nepal;Egypt;Christian;Non-religious;Hindu;Muslim;Egypt
China;Nepal;Germany;Egypt;Non-religious;Hindu;Christian;Muslim;Germany
Thailand;China;Egypt;Georgia;Budhist;Non-religious;Muslim;Christian;Thailand
Vietnam;China;Georgia;Egypt;Budhist;Non-religious;Christian;Muslim;Georgia
China;Greece;Thailand;Egypt;Non-religious;Christian;Budhist;Muslim;China
Thailand;China;South Africa;Egypt;Budhist;Non-religious;Christian;Muslim;Egypt
China;Thailand;Italy;Egypt;Non-religious;Budhist;Christian;Muslim;China
China;Nigeria;Egypt;Thailand;Non-religious;Christian;Muslim;Budhist;Thailand
Thailand;Egypt;China;France;Budhist;Muslim;Non-religious;Christian;Egypt
Egypt;Thailand;Germany;China;Muslim;Budhist;Christian;Non-religious;China
China;Vietnam;Egypt;Greece;Non-religious;Budhist;Muslim;Christian;Vietnam
Vietnam;Egypt;South Africa;China;Budhist;Muslim;Christian;Non-religious;Vietnam
Egypt;Vietnam;China;Italy;Muslim;Budhist;Non-religious;Christian;Italy
Egypt;Nigeria;Vietnam;China;Muslim;Christian;Budhist;Non-religious;Vietnam
France;Egypt;China;Vietnam;Christian;Muslim;Non-religious;Budhist;Egypt
Germany;China;Vietnam;Egypt;Christian;Non-religious;Budhist;Muslim;Vietnam
China;Sudan;India;Mexico;Non-religious;Muslim;Hindu;Christian;China
Mexico;Sudan;Nepal;China;Christian;Muslim;Hindu;Non-religious;China
China;Sudan;Thailand;Mexico;Non-religious;Muslim;Budhist;Christian;China
Mexico;Sudan;Vietnam;China;Christian;Muslim;Budhist;Non-religious;China
China;Sudan;Canada;India;Non-religious;Muslim;Christian;Hindu;India
China;Sudan;Canada;Nepal;Non-religious;Muslim;Christian;Hindu;China
Canada;China;Thailand;Sudan;Christian;Non-religious;Budhist;Muslim;Sudan
Vietnam;China;Sudan;Canada;Budhist;Non-religious;Muslim;Christian;Canada
United States of America;India;Sudan;China;Christian;Hindu;Muslim;Non-religious;United States of America
United States of America;Nepal;China;Sudan;Christian;Hindu;Non-religious;Muslim;Sudan
China;United States of America;Thailand;Sudan;Non-religious;Christian;Budhist;Muslim;United States of America
Vietnam;United States of America;China;Sudan;Budhist;Christian;Non-religious;Muslim;Sudan
China;Sudan;India;Sweden;Non-religious;Muslim;Hindu;Christian;China
Nepal;Sweden;Sudan;China;Hindu;Christian;Muslim;Non-religious;China
Sudan;China;Thailand;Sweden;Muslim;Non-religious;Budhist;Christian;China
Sudan;China;Sweden;Vietnam;Muslim;Non-religious;Christian;Budhist;Vietnam
United Kingdom;India;China;Sudan;Christian;Hindu;Non-religious;Muslim;India
United Kingdom;China;Nepal;Sudan;Christian;Non-religious;Hindu;Muslim;United Kingdom
China;United Kingdom;Thailand;Sudan;Non-religious;Christian;Budhist;Muslim;Thailand
Vietnam;Sudan;China;United Kingdom;Budhist;Muslim;Non-religious;Christian;United Kingdom
India;Australia;Sudan;China;Hindu;Christian;Muslim;Non-religious;Australia
Sudan;China;Nepal;Australia;Muslim;Non-religious;Hindu;Christian;China
Sudan;China;Thailand;Australia;Muslim;Non-religious;Budhist;Christian;Australia
Vietnam;China;Australia;Sudan;Budhist;Non-religious;Christian;Muslim;Vietnam
China;India;Papua New Guinea;Sudan;Non-religious;Hindu;Christian;Muslim;China
Papua New Guinea;Nepal;China;Sudan;Christian;Hindu;Non-religious;Muslim;Nepal
Thailand;China;Papua New Guinea;Sudan;Budhist;Non-religious;Christian;Muslim;Sudan
Vietnam;China;Papua New Guinea;Sudan;Budhist;Non-religious;Christian;Muslim;Papua New Guinea
Brazil;Sudan;China;India;Christian;Muslim;Non-religious;Hindu;Brazil
Sudan;Nepal;China;Brazil;Muslim;Hindu;Non-religious;Christian;Brazil
Brazil;Thailand;China;Sudan;Christian;Budhist;Non-religious;Muslim;Sudan
Vietnam;Brazil;Sudan;China;Budhist;Christian;Muslim;Non-religious;Brazil
China;Colombia;Sudan;India;Non-religious;Christian;Muslim;Hindu;Colombia
Nepal;Colombia;Sudan;China;Hindu;Christian;Muslim;Non-religious;Sudan
Colombia;Sudan;Thailand;China;Christian;Muslim;Budhist;Non-religious;Sudan
Vietnam;Colombia;China;Sudan;Budhist;Christian;Non-religious;Muslim;China
Sudan;China;India;Georgia;Muslim;Non-religious;Hindu;Christian;Sudan
Thailand;Sudan;India;China;Budhist;Muslim;Hindu;Non-religious;India
India;China;Vietnam;Sudan;Hindu;Non-religious;Budhist;Muslim;India
Sudan;China;India;Philippines;Muslim;Non-religious;Hindu;Christian;Sudan
India;Greece;China;Sudan;Hindu;Christian;Non-religious;Muslim;Sudan
South Africa;Sudan;China;India;Christian;Muslim;Non-religious;Hindu;South Africa
India;Sudan;China;Italy;Hindu;Muslim;Non-religious;Christian;Italy
India;Nigeria;Sudan;China;Hindu;Christian;Muslim;Non-religious;China
China;France;Sudan;India;Non-religious;Christian;Muslim;Hindu;Sudan
Germany;Sudan;India;China;Christian;Muslim;Hindu;Non-religious;India
China;Nepal;Georgia;Sudan;Non-religious;Hindu;Christian;Muslim;Georgia
China;Sudan;Nepal;Thailand;Non-religious;Muslim;Hindu;Budhist;Nepal
Vietnam;Sudan;China;Nepal;Budhist;Muslim;Non-religious;Hindu;China
Sudan;China;Philippines;Nepal;Muslim;Non-religious;Christian;Hindu;China
Sudan;Greece;Nepal;China;Muslim;Christian;Hindu;Non-religious;Nepal
China;Nepal;Sudan;South Africa;Non-religious;Hindu;Muslim;Christian;Sudan
Italy;Sudan;Nepal;China;Christian;Muslim;Hindu;Non-religious;Italy
China;Sudan;Nepal;Nigeria;Non-religious;Muslim;Hindu;Christian;Nigeria
Nepal;Sudan;France;China;Hindu;Muslim;Christian;Non-religious;France
Germany;China;Sudan;Nepal;Christian;Non-religious;Muslim;Hindu;Sudan
Sudan;Georgia;China;Thailand;Muslim;Christian;Non-religious;Budhist;China
Georgia;Sudan;Vietnam;China;Christian;Muslim;Budhist;Non-religious;Vietnam
China;Sudan;Greece;Thailand;Non-religious;Muslim;Christian;Budhist;China
South Africa;Thailand;China;Sudan;Christian;Budhist;Non-religious;Muslim;Thailand
Thailand;China;Sudan;Italy;Budhist;Non-religious;Muslim;Christian;China
Nigeria;Thailand;Sudan;China;Christian;Budhist;Muslim;Non-religious;Nigeria
France;Thailand;China;Sudan;Christian;Budhist;Non-religious;Muslim;China
Sudan;Germany;Thailand;China;Muslim;Christian;Budhist;Non-religious;Sudan
Greece;Sudan;Vietnam;China;Christian;Muslim;Budhist;Non-religious;Sudan
Vietnam;Sudan;China;South Africa;Budhist;Muslim;Non-religious;Christian;Sudan
Sudan;China;Vietnam;Italy;Muslim;Non-religious;Budhist;Christian;Vietnam
China;Sudan;Nigeria;Vietnam;Non-religious;Muslim;Christian;Budhist;Vietnam
China;France;Sudan;Vietnam;Non-religious;Christian;Muslim;Budhist;China
Sudan;Vietnam;Germany;China;Muslim;Budhist;Christian;Non-religious;Germany
China;Thailand;Bangladesh;Mexico;Non-religious;Budhist;Muslim;Christian;Thailand
China;Mexico;Vietnam;Bangladesh;Non-religious;Christian;Budhist;Muslim;Mexico
Thailand;China;Mexico;India;Budhist;Non-religious;Christian;Hindu;China
India;China;Vietnam;Mexico;Hindu;Non-religious;Budhist;Christian;Vietnam
Thailand;China;Mexico;Nepal;Budhist;Non-religious;Christian;Hindu;China
China;Nepal;Mexico;Vietnam;Non-religious;Hindu;Christian;Budhist;Vietnam
Thailand;Pakistan;China;Mexico;Budhist;Muslim;Non-religious;Christian;Mexico
China;Mexico;Pakistan;Vietnam;Non-religious;Christian;Muslim;Budhist;Pakistan
Bangladesh;Canada;Thailand;China;Muslim;Christian;Budhist;Non-religious;Thailand
Bangladesh;Vietnam;Canada;China;Muslim;Budhist;Christian;Non-religious;Canada
Canada;China;Thailand;India;Christian;Non-religious;Budhist;Hindu;Canada
Canada;Vietnam;China;India;Christian;Budhist;Non-religious;Hindu;China
Nepal;Canada;Thailand;China;Hindu;Christian;Budhist;Non-religious;Canada
Canada;Nepal;China;Vietnam;Christian;Hindu;Non-religious;Budhist;China
Pakistan;Thailand;Canada;China;Muslim;Budhist;Christian;Non-religious;Thailand
China;Vietnam;Pakistan;Canada;Non-religious;Budhist;Muslim;Christian;China
Thailand;Bangladesh;United States of America;China;Budhist;Muslim;Christian;Non-religious;Bangladesh
China;Bangladesh;Vietnam;United States of America;Non-religious;Muslim;Budhist;Christian;Vietnam
China;India;Thailand;United States of America;Non-religious;Hindu;Budhist;Christian;United States of America
China;India;United States of America;Vietnam;Non-religious;Hindu;Christian;Budhist;China
Nepal;Thailand;United States of America;China;Hindu;Budhist;Christian;Non-religious;Thailand
United States of America;Vietnam;China;Nepal;Christian;Budhist;Non-religious;Hindu;United States of America
Pakistan;China;United States of America;Thailand;Muslim;Non-religious;Christian;Budhist;Pakistan
United States of America;Pakistan;Vietnam;China;Christian;Muslim;Budhist;Non-religious;Pakistan
Bangladesh;Sweden;Thailand;China;Muslim;Christian;Budhist;Non-religious;Sweden
Sweden;Bangladesh;China;Vietnam;Christian;Muslim;Non-religious;Budhist;Vietnam
India;Sweden;China;Thailand;Hindu;Christian;Non-religious;Budhist;China
Sweden;Vietnam;India;China;Christian;Budhist;Hindu;Non-religious;China
Sweden;Nepal;China;Thailand;Christian;Hindu;Non-religious;Budhist;China
Vietnam;China;Sweden;Nepal;Budhist;Non-religious;Christian;Hindu;Vietnam
Thailand;China;Sweden;Pakistan;Budhist;Non-religious;Christian;Muslim;China
Pakistan;Sweden;Vietnam;China;Muslim;Christian;Budhist;Non-religious;Vietnam
Thailand;China;Bangladesh;United Kingdom;Budhist;Non-religious;Muslim;Christian;Thailand
United Kingdom;China;Vietnam;Bangladesh;Christian;Non-religious;Budhist;Muslim;Vietnam
United Kingdom;India;Thailand;China;Christian;Hindu;Budhist;Non-religious;China
China;Vietnam;United Kingdom;India;Non-religious;Budhist;Christian;Hindu;United Kingdom
Nepal;Thailand;China;United Kingdom;Hindu;Budhist;Non-religious;Christian;China
Vietnam;China;Nepal;United Kingdom;Budhist;Non-religious;Hindu;Christian;Vietnam
China;United Kingdom;Pakistan;Thailand;Non-religious;Christian;Muslim;Budhist;Pakistan
China;Vietnam;Pakistan;United Kingdom;Non-religious;Budhist;Muslim;Christian;Pakistan
Bangladesh;Thailand;Australia;China;Muslim;Budhist;Christian;Non-religious;Australia
Australia;Vietnam;China;Bangladesh;Christian;Budhist;Non-religious;Muslim;China
Thailand;India;Australia;China;Budhist;Hindu;Christian;Non-religious;Thailand
China;Vietnam;India;Australia;Non-religious;Budhist;Hindu;Christian;Vietnam
Thailand;Australia;Nepal;China;Budhist;Christian;Hindu;Non-religious;Nepal
Australia;China;Vietnam;Nepal;Christian;Non-religious;Budhist;Hindu;Australia
Australia;Thailand;Pakistan;China;Christian;Budhist;Muslim;Non-religious;Thailand
Vietnam;Pakistan;Australia;China;Budhist;Muslim;Christian;Non-religious;Australia
Bangladesh;Thailand;Papua New Guinea;China;Muslim;Budhist;Christian;Non-religious;Papua New Guinea
Papua New Guinea;China;Vietnam;Bangladesh;Christian;Non-religious;Budhist;Muslim;China
India;China;Papua New Guinea;Thailand;Hindu;Non-religious;Christian;Budhist;China
China;Papua New Guinea;India;Vietnam;Non-religious;Christian;Hindu;Budhist;China
Nepal;Thailand;Papua New Guinea;China;Hindu;Budhist;Christian;Non-religious;Papua New Guinea
Papua New Guinea;China;Vietnam;Nepal;Christian;Non-religious;Budhist;Hindu;Nepal
Pakistan;Papua New Guinea;China;Thailand;Muslim;Christian;Non-religious;Budhist;Pakistan
Vietnam;Papua New Guinea;Pakistan;China;Budhist;Christian;Muslim;Non-religious;Papua New Guinea
Brazil;Thailand;Bangladesh;China;Christian;Budhist;Muslim;Non-religious;Brazil
Vietnam;Bangladesh;Brazil;China;Budhist;Muslim;Christian;Non-religious;Bangladesh
India;China;Brazil;Thailand;Hindu;Non-religious;Christian;Budhist;India
Brazil;India;China;Vietnam;Christian;Hindu;Non-religious;Budhist;Brazil
Nepal;China;Thailand;Brazil;Hindu;Non-religious;Budhist;Christian;Brazil
Nepal;Brazil;Vietnam;China;Hindu;Christian;Budhist;Non-religious;China
Brazil;China;Pakistan;Thailand;Christian;Non-religious;Muslim;Budhist;Brazil
Vietnam;Pakistan;Brazil;China;Budhist;Muslim;Christian;Non-religious;China
China;Bangladesh;Colombia;Thailand;Non-religious;Muslim;Christian;Budhist;Bangladesh
China;Colombia;Vietnam;Bangladesh;Non-religious;Christian;Budhist;Muslim;Colombia
Thailand;China;Colombia;India;Budhist;Non-religious;Christian;Hindu;India
Colombia;Vietnam;India;China;Christian;Budhist;Hindu;Non-religious;China
China;Thailand;Colombia;Nepal;Non-religious;Budhist;Christian;Hindu;Colombia
Vietnam;Colombia;Nepal;China;Budhist;Christian;Hindu;Non-religious;Colombia
Pakistan;Colombia;China;Thailand;Muslim;Christian;Non-religious;Budhist;China
Vietnam;China;Pakistan;Colombia;Budhist;Non-religious;Muslim;Christian;China
Bangladesh;Georgia;China;Thailand;Muslim;Christian;Non-religious;Budhist;Georgia
Bangladesh;China;Georgia;Vietnam;Muslim;Non-religious;Christian;Budhist;Vietnam
Bangladesh;Greece;Thailand;China;Muslim;Christian;Budhist;Non-religious;Thailand
South Africa;China;Thailand;Bangladesh;Christian;Non-religious;Budhist;Muslim;Thailand
China;Bangladesh;Italy;Thailand;Non-religious;Muslim;Christian;Budhist;Italy
Thailand;Nigeria;China;Bangladesh;Budhist;Christian;Non-religious;Muslim;Nigeria
France;Thailand;China;Bangladesh;Christian;Budhist;Non-religious;Muslim;France
China;Thailand;Germany;Bangladesh;Non-religious;Budhist;Christian;Muslim;Germany
Bangladesh;Greece;Vietnam;China;Muslim;Christian;Budhist;Non-religious;China
Vietnam;China;Bangladesh;South Africa;Budhist;Non-religious;Muslim;Christian;Vietnam
Italy;Bangladesh;China;Vietnam;Christian;Muslim;Non-religious;Budhist;Vietnam
Vietnam;China;Bangladesh;Nigeria;Budhist;Non-religious;Muslim;Christian;China
Bangladesh;France;Vietnam;China;Muslim;Christian;Budhist;Non-religious;Vietnam
China;Germany;Vietnam;Bangladesh;Non-religious;Christian;Budhist;Muslim;Germany
Thailand;Georgia;China;India;Budhist;Christian;Non-religious;Hindu;China
China;Vietnam;India;Georgia;Non-religious;Budhist;Hindu;Christian;China
Thailand;India;Greece;China;Budhist;Hindu;Christian;Non-religious;Thailand
South Africa;India;Thailand;China;Christian;Hindu;Budhist;Non-religious;Thailand
China;India;Italy;Thailand;Non-religious;Hindu;Christian;Budhist;Thailand
Thailand;China;India;Nigeria;Budhist;Non-religious;Hindu;Christian;Thailand
Thailand;France;China;India;Budhist;Christian;Non-religious;Hindu;France
Germany;India;China;Thailand;Christian;Hindu;Non-religious;Budhist;India
China;India;Greece;Vietnam;Non-religious;Hindu;Christian;Budhist;Vietnam
South Africa;China;India;Vietnam;Christian;Non-religious;Hindu;Budhist;South Africa
China;India;Italy;Vietnam;Non-religious;Hindu;Christian;Budhist;India
Nigeria;China;Vietnam;India;Christian;Non-religious;Budhist;Hindu;Vietnam
France;Vietnam;China;India;Christian;Budhist;Non-religious;Hindu;China
Vietnam;India;Germany;China;Budhist;Hindu;Christian;Non-religious;Vietnam
Thailand;Georgia;China;Nepal;Budhist;Christian;Non-religious;Hindu;Nepal
Georgia;Nepal;China;Vietnam;Christian;Hindu;Non-religious;Budhist;Nepal
Greece;China;Thailand;Nepal;Christian;Non-religious;Budhist;Hindu;China
Nepal;South Africa;China;Thailand;Hindu;Christian;Non-religious;Budhist;China
Nepal;Thailand;Italy;China;Hindu;Budhist;Christian;Non-religious;Italy
China;Thailand;Nigeria;Nepal;Non-religious;Budhist;Christian;Hindu;Nigeria
China;Nepal;France;Thailand;Non-religious;Hindu;Christian;Budhist;Thailand
Germany;Thailand;China;Nepal;Christian;Budhist;Non-religious;Hindu;Nepal
Vietnam;Greece;Nepal;China;Budhist;Christian;Hindu;Non-religious;Vietnam
Vietnam;China;Nepal;South Africa;Budhist;Non-religious;Hindu;Christian;China
China;Italy;Vietnam;Nepal;Non-religious;Christian;Budhist;Hindu;Vietnam
China;Nigeria;Nepal;Vietnam;Non-religious;Christian;Hindu;Budhist;Vietnam
Nepal;France;China;Vietnam;Hindu;Christian;Non-religious;Budhist;Nepal
Germany;Nepal;Vietnam;China;Christian;Hindu;Budhist;Non-religious;Germany
China;Georgia;Pakistan;Thailand;Non-religious;Christian;Muslim;Budhist;Georgia
Vietnam;Pakistan;Georgia;China;Budhist;Muslim;Christian;Non-religious;Pakistan
China;Greece;Pakistan;Thailand;Non-religious;Christian;Muslim;Budhist;Greece
South Africa;Thailand;China;Pakistan;Christian;Budhist;Non-religious;Muslim;Pakistan
Thailand;China;Pakistan;Italy;Budhist;Non-religious;Muslim;Christian;Pakistan
China;Thailand;Pakistan;Nigeria;Non-religious;Budhist;Muslim;Christian;Nigeria
Thailand;France;China;Pakistan;Budhist;Christian;Non-religious;Muslim;Thailand
Germany;China;Pakistan;Thailand;Christian;Non-religious;Muslim;Budhist;Germany
China;Pakistan;Vietnam;Greece;Non-religious;Muslim;Budhist;Christian;Greece
South Africa;Vietnam;Pakistan;China;Christian;Budhist;Muslim;Non-religious;China
Pakistan;Vietnam;Italy;China;Muslim;Budhist;Christian;Non-religious;China
Vietnam;Pakistan;Nigeria;China;Budhist;Muslim;Christian;Non-religious;Nigeria
Pakistan;France;China;Vietnam;Muslim;Christian;Non-religious;Budhist;China
China;Germany;Vietnam;Pakistan;Non-religious;Christian;Budhist;Muslim;Vietnam
India;Japan;Iran;Romania;Hindu;Shintoist;Muslim;Christian;Japan
Japan;Nepal;Iran;Romania;Shintoist;Hindu;Muslim;Christian;Iran
Iran;Thailand;Romania;Japan;Muslim;Budhist;Christian;Shintoist;Thailand
Romania;Japan;Vietnam;Iran;Christian;Shintoist;Budhist;Muslim;Vietnam
Romania;Japan;India;Iraq;Christian;Shintoist;Hindu;Muslim;India
Iraq;Romania;Japan;Nepal;Muslim;Christian;Shintoist;Hindu;Japan
Romania;Iraq;Japan;Thailand;Christian;Muslim;Shintoist;Budhist;Romania
Japan;Iraq;Vietnam;Romania;Shintoist;Muslim;Budhist;Christian;Romania
Turkey;Japan;India;Romania;Muslim;Shintoist;Hindu;Christian;Turkey
Turkey;Romania;Nepal;Japan;Muslim;Christian;Hindu;Shintoist;Romania
Japan;Romania;Thailand;Turkey;Shintoist;Christian;Budhist;Muslim;Thailand
Vietnam;Turkey;Romania;Japan;Budhist;Muslim;Christian;Shintoist;Japan
India;Romania;Algeria;Japan;Hindu;Christian;Muslim;Shintoist;Romania
Romania;Algeria;Nepal;Japan;Christian;Muslim;Hindu;Shintoist;Nepal
Romania;Thailand;Japan;Algeria;Christian;Budhist;Shintoist;Muslim;Japan
Romania;Vietnam;Japan;Algeria;Christian;Budhist;Shintoist;Muslim;Romania
India;Egypt;Romania;Japan;Hindu;Muslim;Christian;Shintoist;Japan
Japan;Egypt;Romania;Nepal;Shintoist;Muslim;Christian;Hindu;Romania
Thailand;Romania;Egypt;Japan;Budhist;Christian;Muslim;Shintoist;Thailand
Japan;Egypt;Romania;Vietnam;Shintoist;Muslim;Christian;Budhist;Japan
Sudan;Japan;Romania;India;Muslim;Shintoist;Christian;Hindu;Sudan
Nepal;Sudan;Romania;Japan;Hindu;Muslim;Christian;Shintoist;Japan
Thailand;Sudan;Romania;Japan;Budhist;Muslim;Christian;Shintoist;Thailand
Japan;Sudan;Romania;Vietnam;Shintoist;Muslim;Christian;Budhist;Romania
Thailand;Romania;Japan;Bangladesh;Budhist;Christian;Shintoist;Muslim;Japan
Bangladesh;Vietnam;Romania;Japan;Muslim;Budhist;Christian;Shintoist;Japan
Japan;India;Thailand;Romania;Shintoist;Hindu;Budhist;Christian;India
Romania;Japan;India;Vietnam;Christian;Shintoist;Hindu;Budhist;India
Thailand;Japan;Nepal;Romania;Budhist;Shintoist;Hindu;Christian;Nepal
Nepal;Romania;Japan;Vietnam;Hindu;Christian;Shintoist;Budhist;Nepal
Romania;Japan;Pakistan;Thailand;Christian;Shintoist;Muslim;Budhist;Romania
Japan;Romania;Pakistan;Vietnam;Shintoist;Christian;Muslim;Budhist;Vietnam
India;Iran;Russian Federation;Japan;Hindu;Muslim;Christian;Shintoist;Japan
Russian Federation;Iran;Nepal;Japan;Christian;Muslim;Hindu;Shintoist;Nepal
Iran;Russian Federation;Thailand;Japan;Muslim;Christian;Budhist;Shintoist;Iran
Japan;Russian Federation;Iran;Vietnam;Shintoist;Christian;Muslim;Budhist;Iran
Iraq;India;Japan;Russian Federation;Muslim;Hindu;Shintoist;Christian;Iraq
Russian Federation;Japan;Iraq;Nepal;Christian;Shintoist;Muslim;Hindu;Russian Federation
Russian Federation;Japan;Iraq;Thailand;Christian;Shintoist;Muslim;Budhist;Japan
Russian Federation;Iraq;Japan;Vietnam;Christian;Muslim;Shintoist;Budhist;Japan
Turkey;Russian Federation;Japan;India;Muslim;Christian;Shintoist;Hindu;Russian Federation
Russian Federation;Japan;Turkey;Nepal;Christian;Shintoist;Muslim;Hindu;Russian Federation
Russian Federation;Turkey;Japan;Thailand;Christian;Muslim;Shintoist;Budhist;Russian Federation
Russian Federation;Vietnam;Japan;Turkey;Christian;Budhist;Shintoist;Muslim;Japan
Algeria;India;Russian Federation;Japan;Muslim;Hindu;Christian;Shintoist;India
Algeria;Russian Federation;Nepal;Japan;Muslim;Christian;Hindu;Shintoist;Nepal
Japan;Thailand;Algeria;Russian Federation;Shintoist;Budhist;Muslim;Christian;Algeria
Russian Federation;Japan;Vietnam;Algeria;Christian;Shintoist;Budhist;Muslim;Algeria
India;Japan;Egypt;Russian Federation;Hindu;Shintoist;Muslim;Christian;Russian Federation
Nepal;Japan;Egypt;Russian Federation;Hindu;Shintoist;Muslim;Christian;Japan
Egypt;Russian Federation;Japan;Thailand;Muslim;Christian;Shintoist;Budhist;Thailand
Russian Federation;Japan;Vietnam;Egypt;Christian;Shintoist;Budhist;Muslim;Japan
Sudan;Japan;Russian Federation;India;Muslim;Shintoist;Christian;Hindu;India
Russian Federation;Sudan;Nepal;Japan;Christian;Muslim;Hindu;Shintoist;Sudan
Japan;Sudan;Russian Federation;Thailand;Shintoist;Muslim;Christian;Budhist;Thailand
Vietnam;Japan;Sudan;Russian Federation;Budhist;Shintoist;Muslim;Christian;Vietnam
Thailand;Japan;Russian Federation;Bangladesh;Budhist;Shintoist;Christian;Muslim;Bangladesh
Japan;Vietnam;Russian Federation;Bangladesh;Shintoist;Budhist;Christian;Muslim;Russian Federation
Thailand;Russian Federation;India;Japan;Budhist;Christian;Hindu;Shintoist;Thailand
Japan;Vietnam;Russian Federation;India;Shintoist;Budhist;Christian;Hindu;India
Nepal;Japan;Russian Federation;Thailand;Hindu;Shintoist;Christian;Budhist;Thailand
Japan;Russian Federation;Nepal;Vietnam;Shintoist;Christian;Hindu;Budhist;Nepal
Russian Federation;Pakistan;Thailand;Japan;Christian;Muslim;Budhist;Shintoist;Japan
Vietnam;Japan;Russian Federation;Pakistan;Budhist;Shintoist;Christian;Muslim;Russian Federation
Ukraine;India;Japan;Iran;Christian;Hindu;Shintoist;Muslim;Ukraine
Nepal;Iran;Japan;Ukraine;Hindu;Muslim;Shintoist;Christian;Nepal
Thailand;Ukraine;Japan;Iran;Budhist;Christian;Shintoist;Muslim;Iran
Vietnam;Iran;Ukraine;Japan;Budhist;Muslim;Christian;Shintoist;Vietnam
Iraq;Ukraine;Japan;India;Muslim;Christian;Shintoist;Hindu;Japan
Japan;Iraq;Ukraine;Nepal;Shintoist;Muslim;Christian;Hindu;Ukraine
Thailand;Iraq;Ukraine;Japan;Budhist;Muslim;Christian;Shintoist;Japan
Vietnam;Ukraine;Japan;Iraq;Budhist;Christian;Shintoist;Muslim;Ukraine
Turkey;India;Japan;Ukraine;Muslim;Hindu;Shintoist;Christian;Turkey
Turkey;Nepal;Ukraine;Japan;Muslim;Hindu;Christian;Shintoist;Nepal
Thailand;Ukraine;Turkey;Japan;Budhist;Christian;Muslim;Shintoist;Thailand
Ukraine;Turkey;Vietnam;Japan;Christian;Muslim;Budhist;Shintoist;Vietnam
Ukraine;Algeria;India;Japan;Christian;Muslim;Hindu;Shintoist;India
Japan;Nepal;Ukraine;Algeria;Shintoist;Hindu;Christian;Muslim;Ukraine
Thailand;Japan;Algeria;Ukraine;Budhist;Shintoist;Muslim;Christian;Thailand
Ukraine;Algeria;Japan;Vietnam;Christian;Muslim;Shintoist;Budhist;Algeria
Japan;Ukraine;Egypt;India;Shintoist;Christian;Muslim;Hindu;Egypt
Nepal;Egypt;Ukraine;Japan;Hindu;Muslim;Christian;Shintoist;Nepal
Japan;Thailand;Ukraine;Egypt;Shintoist;Budhist;Christian;Muslim;Egypt
Japan;Egypt;Vietnam;Ukraine;Shintoist;Muslim;Budhist;Christian;Vietnam
Sudan;India;Japan;Ukraine;Muslim;Hindu;Shintoist;Christian;Ukraine
Japan;Ukraine;Nepal;Sudan;Shintoist;Christian;Hindu;Muslim;Sudan
Thailand;Sudan;Japan;Ukraine;Budhist;Muslim;Shintoist;Christian;Japan
Ukraine;Japan;Vietnam;Sudan;Christian;Shintoist;Budhist;Muslim;Ukraine
Bangladesh;Japan;Ukraine;Thailand;Muslim;Shintoist;Christian;Budhist;Bangladesh
Vietnam;Bangladesh;Japan;Ukraine;Budhist;Muslim;Shintoist;Christian;Ukraine
